koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag
candidate,0,0,0,0,21.81295996,174.01085,2455007.011,0.0,0.053,4.3791,1175.4,0.1495,89.92,37.8,1,0.1204,5601.0,4.41,0.999,0.934,15.54
non-candidate,0,1,0,0,7.91936937,172.181092,2455005.181,0.0,0.733,3.3148,15148.0,0.0737,87.3,389.0,1,0.0163,5690.0,4.588,0.776,0.852,15.805
candidate,0,0,0,0,1.028436523,170.228582,2455003.229,0.0,1.5734,1.8606,8098.0,0.0197,57.3,89.6,1,0.4866,6228.0,4.428,0.99,0.959,15.202
candidate,0,0,0,0,15.37562369,173.61402,2455006.614,0.0,0.692,3.3169,15337.0,0.1121,88.73,166.0,1,0.4872,4986.0,4.496,0.833,0.793,16.422
candidate,0,0,0,0,8.10363271,176.9486,2455009.949,0.0,0.047,3.161,887.9,0.0712,89.87,39.3,2,0.5907,4861.0,4.574,0.732,0.733,15.289
candidate,0,0,0,0,4.71510843,134.96178,2454967.962,0.0,0.258,2.506,417.5,0.0496,88.96,21.3,2,0.7292,4861.0,4.574,0.732,0.733,15.289
candidate,0,0,0,0,6.365839713,171.13575,2455004.136,0.0,0.524,2.9721,780.7,0.0659,87.92,70.8,1,0.1852,5776.0,4.554,0.849,0.939,15.09
non-candidate,0,0,1,0,5.97581754,174.77602,2455007.776,0.0,0.941,3.065,962.4,0.066,81.71,50.3,1,0.9854,6108.0,4.471,0.997,1.072,15.546
non-candidate,0,0,1,1,2.446737317,170.66951,2455003.67,0.0,1.241,4.7211,1177.9,0.0351,44.81,110.2,1,0.6521,5764.0,4.548,0.863,0.959,15.021
candidate,0,0,0,0,3.04033046,169.9490106,2455002.949,0.0,0.736,1.8411,10859.0,0.0374,85.95,568.2,1,0.2726,5035.0,4.519,0.791,0.754,15.028
