disposition,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_ratror,st_teff,st_rad,sy_gaiamag
candidate,1,0,0.64292573,2.6,0.0305049999999999,2914.0,0.362033,17.1932
non-candidate,1,0,1.4562,2.6,0.0305049999999999,5292.0,0.864,14.6533
non-candidate,1,0,2.8742,2.6,0.0305049999999999,3648.0,1.41662,12.5627
candidate,1,0,10.2236,132.0,0.61,6960.0,2.04,16.4228
non-candidate,1,0,1.6281,2.6,0.0305049999999999,5691.0,2.74444,8.509111
candidate,1,0,2.7518,0.669,0.00948,5292.0,0.647,10.629
candidate,1,0,6.7713125000000005,133.0,0.15,5292.0,8.12,9.88772
candidate,1,0,23.277669,32.8,0.4569,4379.0,0.68,13.7131
candidate,1,0,24.6842,2.49,0.01951,5292.0,1.17,11.882
candidate,1,0,2.2,8.4,0.088,4800.0,0.87,12.3715
candidate,1,0,2.6454165,9.47,0.1375,5179.0,0.79,11.649
candidate,1,0,2.64594828,2.6,0.0305049999999999,6634.0,1.98054,11.649
candidate,1,0,20.98296043,2.6,0.0305049999999999,4822.0,0.739921,14.4924
candidate,1,0,1.5271792,2.6,0.0305049999999999,5359.0,0.899453,14.6666
candidate,1,1,7.8392,1.46,0.01204,5292.0,1.115,11.5285
non-candidate,1,0,9.2048,2.6,0.0305049999999999,11886.0,3.61562,5.80898
candidate,1,0,2.32046168,2.6,0.0305049999999999,5292.0,0.864,12.6702
candidate,1,0,2.320937,15.7,0.125,5292.0,1.157,12.6702
candidate,1,0,1.94297,2.571,0.054,3197.0,0.436,16.7304
non-candidate,1,0,1.3178719,62.0,0.286,5292.0,1.975,12.3543
non-candidate,1,0,1.3179,55.0,0.48,5876.0,1.07,12.3543
candidate,1,0,0.2338108,2.6,0.107,5292.0,0.864,18.2041
non-candidate,1,0,1.1488,2.6,0.0305049999999999,3429.0,0.984957,13.8428
candidate,1,0,46.38363,3.22,0.03871,5292.0,0.762,11.573
candidate,1,0,46.40651,3.35,0.03779,4812.0,0.73,11.573
candidate,1,0,16.56127,0.957,0.034,5292.0,0.258,12.6702
candidate,1,0,16.563155,1.66,0.02876,3669.0,0.48,12.6702
candidate,1,0,18.357773,1.74,0.01924,4937.0,0.75,12.5085
candidate,1,0,18.3647,2.61,0.0196,5292.0,1.22,12.5085
candidate,1,0,21.9184,3.18,0.0404,5292.0,0.72,14.3662
candidate,1,0,49.8558,3.29,0.02222,5292.0,1.359,10.482
candidate,1,0,4.9818921,2.66,0.02159,5849.0,1.04,11.7728
candidate,1,0,4.98049071,2.6,0.0305049999999999,5234.0,1.13733,11.7728
candidate,1,0,4.981838,2.39347065,0.022431,5774.0,0.978267,11.7728
candidate,1,0,4.98205,2.3,0.0206,5594.0,1.01,11.7728
candidate,1,0,4.9815,2.39,0.02384,5292.0,0.92,11.7728
candidate,1,0,3.3055191,1.27,0.03401,3430.0,0.35,14.9533
candidate,1,0,3.30524,6.6,0.0341,5292.0,1.79,14.9533
non-candidate,1,0,1.8361,2.6,0.0305049999999999,5292.0,0.864,12.6702
candidate,1,0,14.5444413,2.6,0.0305049999999999,5292.0,0.864,12.6702
candidate,1,0,4.30221683,2.6,0.0305049999999999,7168.62,4.08069,10.5502
non-candidate,1,0,8.02678456,2.6,0.0305049999999999,4708.46,5.5996,12.8641
non-candidate,1,0,8.0241306,4.42,0.08498,3939.0,0.58,12.8641
non-candidate,1,0,8.02415,194.0,0.3,4734.0,6.1,12.8641
non-candidate,1,0,8.02335,86.0,0.153,5292.0,5.13,12.8641
