koi_disposition,kepid,kepoi_name,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_time0bk,koi_tce_plnt_num,is_confirmed,any_false_positive_flag,koi_period_log,koi_prad_log,koi_teq_log
FALSE POSITIVE,3328052,K03011.01,FALSE POSITIVE,0.0,0,0,1,1,2.11547854,0.755,3.665,222.9,1.66,1521.0,1264.56,21.6,6208.0,4.454,1.024,15.542,287.19815,38.42897,132.0118,1.0,0,1,0.7492810469525784,0.5068176023684519,7.327123292259293
CANDIDATE,10749059,K03086.01,CANDIDATE,0.994,0,0,0,0,174.731515,0.021,8.257,1179.9,3.0,287.0,1.6,16.5,5201.0,4.447,0.897,15.707,297.88464,48.00145,252.5348,1.0,0,0,5.163250595833589,1.0986122886681098,5.659482215759621
FALSE POSITIVE,9119568,K03087.01,FALSE POSITIVE,0.0,0,0,1,0,5.54867998,0.095,4.665,68.9,0.68,882.0,143.26,15.4,5258.0,4.514,0.835,12.837,300.93738,45.49007,133.9285,1.0,0,1,1.7135600580281405,-0.3856624808119846,6.782192056006791
FALSE POSITIVE,9119568,K03087.02,FALSE POSITIVE,0.0,1,0,0,0,1.22174063,0.004,7.443,32.2,0.46,1461.0,1081.5,19.4,5258.0,4.514,0.835,12.837,300.93738,45.49007,132.0174,4.0,0,1,0.20027658781193236,-0.7765287894989963,7.2868764117507
CONFIRMED,9020114,K03088.01,CANDIDATE,1.0,0,0,0,0,3.48412874,0.106,1.422,161.6,1.16,1132.0,389.41,13.3,5696.0,4.519,0.921,14.953,291.16437,45.318291,134.5504,1.0,1,0,1.2482180100871199,0.14842000511827322,7.0317412587631285
CONFIRMED,6196457,K00285.01,CANDIDATE,1.0,0,0,0,0,13.74883059,0.658,6.0968,425.9,3.63,975.0,213.84,167.6,5862.0,4.05,1.67,11.565,289.08606,41.562958,179.279158,1.0,1,0,2.620953772495794,1.2892326482767593,6.882437470997847
CANDIDATE,7668416,K03089.01,CANDIDATE,1.0,0,0,0,0,0.858546796,0.241,1.1,106.1,0.88,1671.0,1846.35,12.2,5269.0,4.491,0.864,15.247,286.14804,43.369202,132.14429,1.0,0,0,-0.15251409110279662,-0.12783337150988489,7.421177528595393
CANDIDATE,6029239,K00304.02,CANDIDATE,0.786,0,0,0,0,5.518195,0.243,1.81,27.1,0.46,969.0,208.54,5.2,5767.0,4.538,0.881,12.549,287.08997,41.373878,136.584,2.0,0,0,1.708050814061593,-0.7765287894989963,6.876264611890766
CONFIRMED,6063220,K00305.01,CANDIDATE,1.0,0,0,0,0,4.603575293,0.246,2.3499,440.4,1.51,810.0,101.65,79.7,4783.0,4.602,0.741,12.97,297.354,41.300049,171.840124,1.0,1,0,1.5268332392110129,0.412109650826833,6.697034247666484
CONFIRMED,6071903,K00306.01,CANDIDATE,1.0,0,0,0,0,24.30784323,0.425,2.6054,677.1,2.14,532.0,18.87,35.6,5313.0,4.571,0.82,12.63,299.31955,41.38464,178.36629,1.0,1,0,3.1907990649352147,0.7608058290337602,6.2766434893416445
CONFIRMED,6289257,K00307.01,CANDIDATE,1.0,0,0,0,0,19.67409703,0.914,3.7535,204.9,1.78,711.0,60.37,39.0,6023.0,4.423,1.031,12.797,293.18033,41.61776,176.27119,1.0,1,0,2.979302898968208,0.5766133643039938,6.566672429803241
CONFIRMED,10905239,K00046.01,CANDIDATE,1.0,0,0,0,0,3.487688776,0.026,3.83661,1298.8,5.64,1445.0,1033.07,350.6,5576.0,4.065,1.593,13.77,283.25549,48.355232,170.932217,1.0,1,0,1.2492392750015417,1.7298840655099674,7.275864600546533
CONFIRMED,11623629,K00365.01,CANDIDATE,0.755,0,0,0,0,81.737872,0.02,6.6923,628.8,2.16,385.0,5.2,135.4,5559.0,4.502,0.873,11.195,297.48691,49.623451,211.678818,1.0,1,0,4.403517444031649,0.7701082216960737,5.953243334287785
CANDIDATE,3545478,K00366.01,CANDIDATE,0.953,0,0,0,0,75.1122132,0.838,4.9458,3751.5,23.23,777.0,86.18,384.0,6201.0,3.616,3.354,11.714,291.66418,38.619255,207.713987,1.0,0,0,4.318983171380165,3.145444546782318,6.655440350367647
CONFIRMED,4815520,K00367.01,CANDIDATE,0.998,0,0,0,0,31.578651216,0.04,2.12791,2125.4,4.52,570.0,24.94,324.3,5733.0,4.442,0.99,11.105,284.47217,39.911812,177.206237,1.0,1,0,3.452481297845731,1.5085119938441398,6.345636360828596
FALSE POSITIVE,6603043,K00368.01,FALSE POSITIVE,0.0,0,1,0,0,110.32167272,0.715,13.3624,7296.6,18.6,761.0,79.11,2217.1,9244.0,4.159,2.025,11.375,290.85458,42.086922,197.365128,1.0,0,1,4.703400395806646,2.9231615807191558,6.634633357861686
CONFIRMED,7175184,K00369.01,CANDIDATE,1.0,0,0,0,0,5.88527364,0.622,1.9531,112.7,1.59,1253.0,583.47,27.4,6070.0,4.157,1.431,11.992,281.91568,42.775509,174.42554,1.0,1,0,1.7724532375072033,0.4637340162321402,7.133295954896068
FALSE POSITIVE,7109851,K03012.01,FALSE POSITIVE,0.0,0,0,1,0,1.086486129,0.524,0.8383,66.0,1.69,2539.0,9816.28,20.2,5911.0,3.861,2.0,12.988,289.32925,42.655811,131.96598,1.0,0,1,0.08294875395084612,0.5247285289349821,7.839525581704678
